Not Hispanic,Asian Alone,Hawaiian or Pacific Islander Alone,Population Growth,Female Population,high,Total Population_y,Hispanic,Population 55+,American Indian or Alaskan Native,Two or More Races,Male Population,low,Black Alone,Total Population_x,Population 45-64,Population 25-44,Population 5-17,Population 0-4,Population 18-54,Population 65+,Population 18-24,White Alone,Population Under 18,Predictions,isTarget,County,State
-0.3477177855853774,-0.27657529876506526,-0.2570522858790921,-0.029087844257797188,-0.3214915658049911,-0.22296580099310476,-0.32260171248570835,-0.26759452926957084,-0.32679430738115456,-0.3023919703856875,-0.3386689522876314,-0.32387916703779246,-0.10882015946817944,-0.2700681182471708,-0.32260171248570835,-0.3245691418464302,-0.3200033720430961,-0.32519243059899233,-0.32752590092857775,-0.3179296148814884,-0.32438959170227655,-0.30697396126649124,-0.32449651259596146,-0.32591790919376795,1,1.0,Calhoun , AL
-0.38481590858876197,-0.2792347825982345,-0.2728888677766924,-0.03057212811962309,-0.3457236540949281,-0.9177444910790238,-0.3455790191499664,-0.27018577586882314,-0.35271167909958756,-0.3155495724973473,-0.35469118568362806,-0.3455754236329271,-0.7430394751419395,-0.2564826007997047,-0.3455790191499664,-0.3476143610606517,-0.3389142915138537,-0.3445018576268698,-0.3499264008084141,-0.34080608079870695,-0.35344020906695833,-0.340382818968067,-0.3577136894762739,-0.3460829301468517,0,1.0,Talladega , AL
-0.4383268855194403,-0.2799917514312048,-0.27204649639916045,-0.036890291127887116,-0.3774779614933228,-0.22296580099310476,-0.37771711385610235,-0.2716437423288844,-0.3857759715358228,-0.32463683726511233,-0.3684915377150027,-0.3781288981593944,-0.10882015946817944,-0.31714939015953403,-0.37771711385610235,-0.38352358634866274,-0.36899128211720356,-0.37745269131585796,-0.38071530667410775,-0.37230799404169146,-0.3844390966907243,-0.3693451981140512,-0.3899466039172269,-0.3784472556153569,0,1.0,Chambers , AL
-0.33500340540111884,-0.26659844954651596,-0.2607587199402326,-0.015079792095852024,-0.31598304109306885,-0.22296580099310476,-0.3152090975769605,-0.26780058020396924,-0.3523654719039063,-0.3089707714415174,-0.33871832742906743,-0.3145378203374702,-0.10882015946817944,-0.24147067831218388,-0.3152090975769605,-0.3389964819916872,-0.3146564031753957,-0.31878907799670525,-0.32474023801691976,-0.2956047764095223,-0.3551919179349183,-0.1926981230870183,-0.3214649842827345,-0.3205084845362092,1,1.0,Lee , AL
-0.3338648739770618,-0.2682183628490725,-0.25385127464447077,-0.02312636638942653,-0.3104352181728696,1.552579740337577,-0.31052309477161083,-0.25868907032455013,-0.321083393901091,-0.3023919703856875,-0.3116854374928327,-0.31068801083657394,1.0372252706089655,-0.2678987939154208,-0.31052309477161083,-0.30969234315562627,-0.3070301696315986,-0.2983706904622865,-0.3131682172748818,-0.30823434463159644,-0.32514114996245735,-0.3159472764238597,-0.3107168384449299,-0.3025193376462351,1,1.0,Coweta , GA
-0.27456071251083275,-0.2623341917874496,-0.2080262717067337,-0.019964315763854483,-0.2737198507571693,-0.7192362939116183,-0.2746690844654612,-0.256536462456858,-0.3034298374187015,-0.29268942206593834,-0.28796068203281294,-0.27575165385840766,-0.5427596912449627,0.02422697716968431,-0.2746690844654612,-0.29730012897126173,-0.2695571977323431,-0.26433871964864153,-0.25731881762122727,-0.26663212000759057,-0.29407866894744533,-0.233620458106928,-0.31981334389668753,-0.26247460902781306,1,1.0,Muscogee , GA
-0.3612843109525287,-0.2567629011767878,-0.25738923443010486,-0.029723878061846398,-0.32711256469922323,1.552579740337577,-0.32764754196367546,-0.2609259717563143,-0.3171456633623861,-0.30490043409762263,-0.32094327651209115,-0.3282659641334378,1.9496109528063048,-0.2708952350585914,-0.32764754196367546,-0.31309817809703755,-0.3404934963251493,-0.3166268037473917,-0.3549950506175963,-0.3308793584738839,-0.32101336074884884,-0.32538265034679426,-0.33578528258338497,-0.32726666291765577,1,1.0,Fayette , GA
-0.2217908330368814,-0.2496978587357311,-0.23498215578775553,-0.035472882821964466,-0.2401280133441703,-0.9177444910790238,-0.24543299531401097,-0.26067309106409814,-0.24034185487351836,-0.29221612702595057,-0.2981072735979202,-0.25085864298828253,-0.7430394751419395,0.2590538596839783,-0.24543299531401097,-0.25158935738874655,-0.2462621824305219,-0.2485151648940141,-0.2423851510346697,-0.24589015655918112,-0.24111693647424132,-0.22333462819519811,-0.3264026208321843,-0.2468918923930662,1,1.0,Montgomery , AL
-0.4191530344426367,-0.2786090216963123,-0.26749769096048803,-0.021357607481577206,-0.36611942419065796,1.552579740337577,-0.3659343383393768,-0.2705151451654751,-0.38161546419294046,-0.3164961625773228,-0.35822150829630534,-0.36590124313729594,1.9496109528063048,-0.33917942355593544,-0.3659343383393768,-0.37353778996716425,-0.35592737427471854,-0.35823865874015604,-0.36682888178366224,-0.3599844568964707,-0.3827914497357125,-0.35938749689091165,-0.3700837077629351,-0.3606944288223033,0,1.0,Autauga , AL
-0.39095392553714314,-0.2784525814708318,-0.26244346269529645,-0.018998174055773708,-0.3497347815604361,1.552579740337577,-0.34892754002115073,-0.26958635496875516,-0.3636427949910535,-0.31266247275342196,-0.3516546144853113,-0.34824218233914184,1.9496109528063048,-0.30699615983969974,-0.34892754002115073,-0.35342382213694423,-0.3378188490011583,-0.3475266567146044,-0.3525759222995775,-0.34109153835778866,-0.3664537294028586,-0.34032924693727673,-0.3529786669509264,-0.34900522988194205,1,1.0,Elmore , AL
